KABUPATEN,Produksi_(TON GKG)_2020,Produksi_(TON GKG)_2021,Produksi_(TON GKG)_2022
KALIMANTAN SELATAN,1150307,1016314,819419
TANAH LAUT,97019,79662,73487
KOTABARU,23162,22080,17610
BANJAR,190762,169163,129051
BARITO KUALA,237193,221360,186868
TAPIN,122860,115062,101228
HULU SUNGAI SELATAN,113217,97037,58464
HULU SUNGAI TENGAH,131586,120731,109758
HULU SUNGAI UTARA,94175,73787,25623
TABALONG,59067,52087,54342
TANAH BUMBU,52553,36573,39429
BALANGAN,16124,16553,15549
KOTA BANJARMASIN,9496,8882,4933
KOTA BANJAR BARU,3092,3337,3079
